         74060 function calls in 0.034 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       18    0.001    0.000    0.149    0.008 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:470(get_best_reachable_center)
      388    0.000    0.000    0.000    0.000 <string>:11(__eq__)
       16    0.003    0.000    0.333    0.021 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pfad_und_routen.py:61(get_route_by_permutations_for_bot)
     9369    0.105    0.000    0.139    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:173(get_distance_to_nearest_wall)
       19    0.046    0.002    0.249    0.013 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:10(generate_a_star_path)
       36    0.098    0.003    0.147    0.004 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:473(bfs_farthest_point)
       16    0.000    0.000    0.333    0.021 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pfad_und_routen.py:214(set_path_to_gem)
    18218    0.004    0.000    0.004    0.000 <string>:2(__init__)
       19    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\pathfinding_logics.py:251(reconstruct_path)
     7511    0.002    0.000    0.002    0.000 {built-in method _heapq.heappush}
     7127    0.003    0.000    0.003    0.000 {built-in method _heapq.heappop}
       19    0.000    0.000    0.000    0.000 {method 'reverse' of 'list' objects}
    18720    0.003    0.000    0.003    0.000 {method 'add' of 'set' objects}
   430187    0.038    0.000    0.038    0.000 {built-in method builtins.abs}
    11807    0.001    0.000    0.001    0.000 {built-in method builtins.min}
     7511    0.001    0.000    0.001    0.000 {built-in method builtins.next}
       18    0.000    0.000    0.000    0.000 {method 'pop' of 'list' objects}
       40    0.000    0.000    0.000    0.000 <string>:5(__eq__)
        1    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\signal_interpreter.py:165(circle_around)
        1    0.000    0.000    0.000    0.000 C:\Users\Ferdinand\Documents\Mein Zeug\code\haferbot\include\matrix.py:110(get_current_frontiers)
